protocol,success,hops,messages,match_error,utility,variant
Heuristic-MADTSR,0,20,20,,0.0,No staleness (α=0)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,20,20,,0.0,No staleness (α=0)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,20,20,,0.0,No staleness (α=0)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,1,9,10,0.9983723379832932,0.5262535236575561,No staleness (α=0)
Heuristic-MADTSR,0,13,13,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,20,20,,0.0,No staleness (α=0)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,11,11,,0.0,No staleness (α=0)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,20,20,,0.0,No staleness (α=0)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,6,6,,0.0,No staleness (α=0)
Heuristic-MADTSR,0,6,6,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,8,8,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,13,13,,0.0,No staleness (α=0)
Heuristic-MADTSR,0,12,12,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,12,12,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,16,16,,0.0,No staleness (α=0)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,8,8,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,1,14,15,0.8790342380190797,0.33287377253122963,No staleness (α=0)
Heuristic-MADTSR,1,7,8,0.8790342380190797,0.6148911947429107,Staleness (α=0.01)
Heuristic-MADTSR,0,13,13,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,19,19,,0.0,No staleness (α=0)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,19,19,,0.0,No staleness (α=0)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,20,20,,0.0,No staleness (α=0)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,6,6,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,20,20,,0.0,No staleness (α=0)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,20,20,,0.0,No staleness (α=0)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,20,20,,0.0,No staleness (α=0)
Heuristic-MADTSR,0,15,15,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,10,10,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,20,20,,0.0,No staleness (α=0)
Heuristic-MADTSR,1,16,17,0.4915166804675644,0.2651780592663566,Staleness (α=0.01)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,20,20,,0.0,No staleness (α=0)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,20,20,,0.0,No staleness (α=0)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,13,13,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,20,20,,0.0,No staleness (α=0)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,19,19,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,12,12,,0.0,No staleness (α=0)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,20,20,,0.0,No staleness (α=0)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,20,20,,0.0,No staleness (α=0)
Heuristic-MADTSR,0,8,8,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,1,6,7,0.8997542491729825,0.6619815282283126,No staleness (α=0)
Heuristic-MADTSR,1,6,7,0.8997542491729825,0.6619815282283126,Staleness (α=0.01)
Heuristic-MADTSR,1,17,18,0.7804783973661162,0.23312709387821823,Staleness (α=0.05)
Heuristic-MADTSR,0,20,20,,0.0,No staleness (α=0)
Heuristic-MADTSR,1,16,17,0.7745997464261887,0.2651780592663566,Staleness (α=0.01)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,20,20,,0.0,No staleness (α=0)
Heuristic-MADTSR,0,15,15,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,20,20,,0.0,No staleness (α=0)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,4,4,,0.0,No staleness (α=0)
Heuristic-MADTSR,0,20,20,,0.0,Staleness (α=0.01)
Heuristic-MADTSR,0,19,19,,0.0,Staleness (α=0.05)
Heuristic-MADTSR,0,20,20,,0.0,No staleness (α=0)
Heuristic-MADTSR,1,10,11,0.7662683901961242,0.4845205479701943,Staleness (α=0.01)
Heuristic-MADTSR,1,18,19,0.7662683901961242,0.202193475893505,Staleness (α=0.05)
